,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Source,Ticker,Name,Downloaded on Date
1975,1975,1975,1975,WIKI,NFLX,"Netflix Inc. (NFLX) Prices, Dividends, Splits and Trading Volume",20170721
1976,1976,1976,1976,WIKI,MUR,"Murphy Oil Corp (MUR) Prices, Dividends, Splits and Trading Volume",20170721
1977,1977,1977,1977,WIKI,NWSA,"News Corp (New) (NWSA) Prices, Dividends, Splits and Trading Volume",20170721
1978,1978,1978,1978,WIKI,NOV,"National Oilwell Varco Inc (NOV) Prices, Dividends, Splits and Trading Volume",20170721
1979,1979,1979,1979,WIKI,NTAP,"NetApp Inc. (NTAP) Prices, Dividends, Splits and Trading Volume",20170721
1980,1980,1980,1980,WIKI,NSC,"Norfolk Southern Corp. (NSC) Prices, Dividends, Splits and Trading Volume",20170721
1981,1981,1981,1981,WIKI,NWL,"Newell Rubbermaid Inc. (NWL) Prices, Dividends, Splits and Trading Volume",20170721
1982,1982,1982,1982,WIKI,NFX,"Newfield Exploration Co. (NFX) Prices, Dividends, Splits and Trading Volume",20170721
1983,1983,1983,1983,WIKI,REGN,"Regeneron Pharmaceuticals Inc. (REGN) Prices, Dividends, Splits and Trading Volume",20170721
1984,1984,1984,1984,WIKI,TRV,"Travelers Companies Inc (The) (TRV) Prices, Dividends, Splits and Trading Volume",20170721
1985,1985,1985,1985,WIKI,OMC,"Omnicom Group Inc. (OMC) Prices, Dividends, Splits and Trading Volume",20170721
1986,1986,1986,1986,WIKI,OXY,"Occidental Petroleum Corp (OXY) Prices, Dividends, Splits and Trading Volume",20170721
1987,1987,1987,1987,WIKI,PXD,"Pioneer Natural Resources Co. (PXD) Prices, Dividends, Splits and Trading Volume",20170721
1988,1988,1988,1988,WIKI,NKE,"NIKE Inc (NKE) Prices, Dividends, Splits and Trading Volume",20170721
1989,1989,1989,1989,WIKI,PFG,"Principal Financial Group Inc. (PFG) Prices, Dividends, Splits and Trading Volume",20170721
1990,1990,1990,1990,WIKI,PFE,"Pfizer Inc (PFE) Prices, Dividends, Splits and Trading Volume",20170721
1991,1991,1991,1991,WIKI,PGR,"Progressive Corp. (PGR) Prices, Dividends, Splits and Trading Volume",20170721
1992,1992,1992,1992,WIKI,PWR,"Quanta Services Inc. (PWR) Prices, Dividends, Splits and Trading Volume",20170721
1993,1993,1993,1993,WIKI,PKI,"PerkinElmer Inc. (PKI) Prices, Dividends, Splits and Trading Volume",20170721
1994,1994,1994,1994,WIKI,PM,"Philip Morris International Inc (PM) Prices, Dividends, Splits and Trading Volume",20170721
1995,1995,1995,1995,WIKI,PNC,"PNC Financial Services Group (The) (PNC) Prices, Dividends, Splits and Trading Volume",20170721
1996,1996,1996,1996,WIKI,PRGO,"Perrigo Company plc (PRGO) Prices, Dividends, Splits and Trading Volume",20170721
1997,1997,1997,1997,WIKI,RF,"Regions Financial Corp (RF) Prices, Dividends, Splits and Trading Volume",20170721
1998,1998,1998,1998,WIKI,ZTS,"Zoetis Inc (ZTS) Prices, Dividends, Splits and Trading Volume",20170721
1999,1999,1999,1999,WIKI,R,"Ryder System Inc. (R) Prices, Dividends, Splits and Trading Volume",20170721
2000,2000,2000,2000,WIKI,RHI,"Robert Half International Inc. (RHI) Prices, Dividends, Splits and Trading Volume",20170721
2001,2001,2001,2001,WIKI,SO,"Southern Co. (SO) Prices, Dividends, Splits and Trading Volume",20170721
2002,2002,2002,2002,WIKI,RRC,"Range Resources Corp (RRC) Prices, Dividends, Splits and Trading Volume",20170721
2003,2003,2003,2003,WIKI,SEE,"Sealed Air Corp. (SEE) Prices, Dividends, Splits and Trading Volume",20170721
2004,2004,2004,2004,WIKI,SPLS,"Staples Inc (SPLS) Prices, Dividends, Splits and Trading Volume",20170721
2005,2005,2005,2005,WIKI,SWK,"Stanley Works (SWK) Prices, Dividends, Splits and Trading Volume",20170721
2006,2006,2006,2006,WIKI,TXN,"Texas Instruments Inc. (TXN) Prices, Dividends, Splits and Trading Volume",20170721
2007,2007,2007,2007,WIKI,MTB,"M & T Bank Corp (MTB) Prices, Dividends, Splits and Trading Volume",20170721
2008,2008,2008,2008,WIKI,STX,"Seagate Technology (STX) Prices, Dividends, Splits and Trading Volume",20170721
2009,2009,2009,2009,WIKI,TMK,"Torchmark Corp. (TMK) Prices, Dividends, Splits and Trading Volume",20170721
2010,2010,2010,2010,WIKI,TXT,"Textron Inc. (TXT) Prices, Dividends, Splits and Trading Volume",20170721
2011,2011,2011,2011,WIKI,TWX,"Time Warner Inc (TWX) Prices, Dividends, Splits and Trading Volume",20170721
2012,2012,2012,2012,WIKI,USB,"U.S. Bancorp (DE) (USB) Prices, Dividends, Splits and Trading Volume",20170721
2013,2013,2013,2013,WIKI,UPS,"United Parcel Service Inc. (UPS) Prices, Dividends, Splits and Trading Volume",20170721
2014,2014,2014,2014,WIKI,CLR,"Continental Resources Inc. (CLR) Prices, Dividends, Splits and Trading Volume",20170721
2015,2015,2015,2015,WIKI,CVGI,"Commercial Vehicle Group Inc. (CVGI) Prices, Dividends, Splits and Trading Volume",20170721
2016,2016,2016,2016,WIKI,ENSG,"Ensign Group Inc (ENSG) Prices, Dividends, Splits and Trading Volume",20170721
2017,2017,2017,2017,WIKI,HBHC,"Hancock Holding Co. (HBHC) Prices, Dividends, Splits and Trading Volume",20170721
2018,2018,2018,2018,WIKI,ECPG,"Encore Capital Group Inc (ECPG) Prices, Dividends, Splits and Trading Volume",20170721
2019,2019,2019,2019,WIKI,HRG,"HRG Group Inc (HRG) Prices, Dividends, Splits and Trading Volume",20170721
2020,2020,2020,2020,WIKI,LPNT,"LifePoint Health Inc (LPNT) Prices, Dividends, Splits and Trading Volume",20170721
2021,2021,2021,2021,WIKI,LINC,"Lincoln Educational Services Corp (LINC) Prices, Dividends, Splits and Trading Volume",20170721
2022,2022,2022,2022,WIKI,MITK,"Mitek Systems Inc. (MITK) Prices, Dividends, Splits and Trading Volume",20170721
2023,2023,2023,2023,WIKI,MTRN,"Materion Corp (MTRN) Prices, Dividends, Splits and Trading Volume",20170721
2024,2024,2024,2024,WIKI,MRVL,"Marvell Technology Group Ltd. (MRVL) Prices, Dividends, Splits and Trading Volume",20170721
2025,2025,2025,2025,WIKI,MLAB,"Mesa Laboratories Inc. (MLAB) Prices, Dividends, Splits and Trading Volume",20170721
2026,2026,2026,2026,WIKI,NPTN,"Neophotonics (NPTN) Prices, Dividends, Splits and Trading Volume",20170721
2027,2027,2027,2027,WIKI,NVR,"NVR Inc. (NVR) Prices, Dividends, Splits and Trading Volume",20170721
2028,2028,2028,2028,WIKI,NGS,"Natural Gas Services Group Inc. (NGS) Prices, Dividends, Splits and Trading Volume",20170721
2029,2029,2029,2029,WIKI,NWE,"Northwestern Corp. (NWE) Prices, Dividends, Splits and Trading Volume",20170721
2030,2030,2030,2030,WIKI,QNST,"QuinStreet Inc. (QNST) Prices, Dividends, Splits and Trading Volume",20170721
2031,2031,2031,2031,WIKI,ODFL,"Old Dominion Freight Line Inc. (ODFL) Prices, Dividends, Splits and Trading Volume",20170721
2032,2032,2032,2032,WIKI,NETE,"Net Element Inc. (NETE) Prices, Dividends, Splits and Trading Volume",20170721
2033,2033,2033,2033,WIKI,OXM,"Oxford Industries Inc. (OXM) Prices, Dividends, Splits and Trading Volume",20170721
2034,2034,2034,2034,WIKI,OC,"Owens Corning (OC) Prices, Dividends, Splits and Trading Volume",20170721
2035,2035,2035,2035,WIKI,PRFT,"Perficient Inc. (PRFT) Prices, Dividends, Splits and Trading Volume",20170721
2036,2036,2036,2036,WIKI,RDC,"Rowan Companies plc (RDC) Prices, Dividends, Splits and Trading Volume",20170721
2037,2037,2037,2037,WIKI,AOSL,"Alpha and Omega Semiconductor Limited (AOSL) Prices, Dividends, Splits and Trading Volume",20170721
2038,2038,2038,2038,WIKI,BBOX,"Black Box Corp. (DE) (BBOX) Prices, Dividends, Splits and Trading Volume",20170721
2039,2039,2039,2039,WIKI,CALM,"Cal-Maine Foods Inc. (CALM) Prices, Dividends, Splits and Trading Volume",20170721
2040,2040,2040,2040,WIKI,SXT,"Sensient Technologies Corp. (SXT) Prices, Dividends, Splits and Trading Volume",20170721
2041,2041,2041,2041,WIKI,STL,"Sterling Bancorp (DE) (STL) Prices, Dividends, Splits and Trading Volume",20170721
2042,2042,2042,2042,WIKI,STE,"Steris Corp. (STE) Prices, Dividends, Splits and Trading Volume",20170721
2043,2043,2043,2043,WIKI,VG,"Vonage Holdings (VG) Prices, Dividends, Splits and Trading Volume",20170721
2044,2044,2044,2044,WIKI,UDR,"UDR Inc (UDR) Prices, Dividends, Splits and Trading Volume",20170721
